id,title,slug,poster_url,director,country,year,film_type,plot,genres,poster_url,combined_features
11,Nước Cam Ép,nuoc-cam-ep,https://i.pinimg.com/736x/e1/2f/04/e12f04e59f41d77b623c621364198088.jpg,Highlands Coffee,Việt Nam,2025,Nước ép & sinh tố,"Nước cam tươi vắt nguyên chất Món này được phục vụ tại quán Highlands Coffee địa chỉ 240 Trần Phú, Quận Hải Châu, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905123456.",Nước ép & sinh tố,http://localhost:5173/images/foods/https://i.pinimg.com/736x/e1/2f/04/e12f04e59f41d77b623c621364198088.jpg,"Nước Cam Ép Nước cam tươi vắt nguyên chất Món này được phục vụ tại quán Highlands Coffee địa chỉ 240 Trần Phú, Quận Hải Châu, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905123456. Nước ép & sinh tố Highlands Coffee Việt Nam Nước ép & sinh tố"
12,Nước Ép Dưa Hấu,nuoc-ep-dua-hau,https://cdn.tgdd.vn/Files/2020/10/23/1301299/5-cach-lam-nuoc-ep-dua-hau-cuc-ngon-don-gian-tai-nha-202010231109233490.jpg,Highlands Coffee,Việt Nam,2025,Nước ép & sinh tố,"Nước dưa hấu tươi mát Món này được phục vụ tại quán Highlands Coffee địa chỉ 240 Trần Phú, Quận Hải Châu, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905123456.",Nước ép & sinh tố,http://localhost:5173/images/foods/https://cdn.tgdd.vn/Files/2020/10/23/1301299/5-cach-lam-nuoc-ep-dua-hau-cuc-ngon-don-gian-tai-nha-202010231109233490.jpg,"Nước Ép Dưa Hấu Nước dưa hấu tươi mát Món này được phục vụ tại quán Highlands Coffee địa chỉ 240 Trần Phú, Quận Hải Châu, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905123456. Nước ép & sinh tố Highlands Coffee Việt Nam Nước ép & sinh tố"
13,Trà Sữa Trân Châu Đường Đen,tra-sua-tran-chau-duong-den,https://cdn.tgdd.vn/Files/2022/01/21/1412109/huong-dan-cach-lam-tra-sua-tran-chau-duong-den-202201211537260116.jpg,Trà Sữa Phúc Hưng,Việt Nam,2025,Trà sữa,"Trà sữa với trân châu đường đen dẻo ngọt Món này được phục vụ tại quán Trà Sữa Phúc Hưng địa chỉ 156 Hải Phòng, Quận Sơn Trà, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905234567.",Trà sữa,http://localhost:5173/images/foods/https://cdn.tgdd.vn/Files/2022/01/21/1412109/huong-dan-cach-lam-tra-sua-tran-chau-duong-den-202201211537260116.jpg,"Trà Sữa Trân Châu Đường Đen Trà sữa với trân châu đường đen dẻo ngọt Món này được phục vụ tại quán Trà Sữa Phúc Hưng địa chỉ 156 Hải Phòng, Quận Sơn Trà, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905234567. Trà sữa Trà Sữa Phúc Hưng Việt Nam Trà sữa"
14,Trà Sữa Truyền Thống,tra-sua-truyen-thong,https://cdn.tgdd.vn/Files/2021/08/10/1374160/hoc-2-cach-pha-tra-sua-truyen-thong-thom-ngon-chuan-vi-ai-cung-me-202203031716377004.jpg,Trà Sữa Phúc Hưng,Việt Nam,2025,Trà sữa,"Trà sữa đen thơm ngon Món này được phục vụ tại quán Trà Sữa Phúc Hưng địa chỉ 156 Hải Phòng, Quận Sơn Trà, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905234567.",Trà sữa,http://localhost:5173/images/foods/https://cdn.tgdd.vn/Files/2021/08/10/1374160/hoc-2-cach-pha-tra-sua-truyen-thong-thom-ngon-chuan-vi-ai-cung-me-202203031716377004.jpg,"Trà Sữa Truyền Thống Trà sữa đen thơm ngon Món này được phục vụ tại quán Trà Sữa Phúc Hưng địa chỉ 156 Hải Phòng, Quận Sơn Trà, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905234567. Trà sữa Trà Sữa Phúc Hưng Việt Nam Trà sữa"
15,Trà Sữa Bạc Hà,tra-sua-bac-ha,https://cdn.nguyenkimmall.com/images/detailed/747/6-tra-sua-bac-ha.jpg.jpg,Trà Sữa Phúc Hưng,Việt Nam,2025,Trà sữa,"Trà sữa vị bạc hà the mát Món này được phục vụ tại quán Trà Sữa Phúc Hưng địa chỉ 156 Hải Phòng, Quận Sơn Trà, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905234567.",Trà sữa,http://localhost:5173/images/foods/https://cdn.nguyenkimmall.com/images/detailed/747/6-tra-sua-bac-ha.jpg.jpg,"Trà Sữa Bạc Hà Trà sữa vị bạc hà the mát Món này được phục vụ tại quán Trà Sữa Phúc Hưng địa chỉ 156 Hải Phòng, Quận Sơn Trà, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905234567. Trà sữa Trà Sữa Phúc Hưng Việt Nam Trà sữa"
16,Trà Sữa Khoai Môn,tra-sua-khoai-mon,https://cdn.tgdd.vn/Files/2021/11/04/1395665/cach-lam-tra-sua-khoai-mon-thom-ngon-chuan-vi-202111041038558095.jpg,Trà Sữa Phúc Hưng,Việt Nam,2025,Trà sữa,"Trà sữa khoai môn tím béo ngậy Món này được phục vụ tại quán Trà Sữa Phúc Hưng địa chỉ 156 Hải Phòng, Quận Sơn Trà, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905234567.",Trà sữa,http://localhost:5173/images/foods/https://cdn.tgdd.vn/Files/2021/11/04/1395665/cach-lam-tra-sua-khoai-mon-thom-ngon-chuan-vi-202111041038558095.jpg,"Trà Sữa Khoai Môn Trà sữa khoai môn tím béo ngậy Món này được phục vụ tại quán Trà Sữa Phúc Hưng địa chỉ 156 Hải Phòng, Quận Sơn Trà, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905234567. Trà sữa Trà Sữa Phúc Hưng Việt Nam Trà sữa"
17,Trà Sữa Matcha,tra-sua-matcha,https://cdn.tgdd.vn/Files/2022/03/16/1420535/cach-lam-matcha-da-xay-kem-ngon-beo-ngay-don-gian-tai-nha-202203160109187743.jpg,Trà Sữa Phúc Hưng,Việt Nam,2025,Trà sữa,"Trà sữa matcha Nhật Bản Món này được phục vụ tại quán Trà Sữa Phúc Hưng địa chỉ 156 Hải Phòng, Quận Sơn Trà, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905234567.",Trà sữa,http://localhost:5173/images/foods/https://cdn.tgdd.vn/Files/2022/03/16/1420535/cach-lam-matcha-da-xay-kem-ngon-beo-ngay-don-gian-tai-nha-202203160109187743.jpg,"Trà Sữa Matcha Trà sữa matcha Nhật Bản Món này được phục vụ tại quán Trà Sữa Phúc Hưng địa chỉ 156 Hải Phòng, Quận Sơn Trà, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905234567. Trà sữa Trà Sữa Phúc Hưng Việt Nam Trà sữa"
18,Trà Sữa Sương Sáo,tra-sua-suong-sao,https://cdn.tgdd.vn/2021/09/CookRecipe/Avatar/tra-sua-suong-sao-bang-bot-beo-thumbnail-1.jpg,Trà Sữa Phúc Hưng,Việt Nam,2025,Trà sữa,"Trà sữa với sương sáo mát lạnh Món này được phục vụ tại quán Trà Sữa Phúc Hưng địa chỉ 156 Hải Phòng, Quận Sơn Trà, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905234567.",Trà sữa,http://localhost:5173/images/foods/https://cdn.tgdd.vn/2021/09/CookRecipe/Avatar/tra-sua-suong-sao-bang-bot-beo-thumbnail-1.jpg,"Trà Sữa Sương Sáo Trà sữa với sương sáo mát lạnh Món này được phục vụ tại quán Trà Sữa Phúc Hưng địa chỉ 156 Hải Phòng, Quận Sơn Trà, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905234567. Trà sữa Trà Sữa Phúc Hưng Việt Nam Trà sữa"
19,Trà Sữa Đào,tra-sua-dao,https://congthucphache.com/wp-content/uploads/2021/10/z2847484529074_9f315bdce3a01f84745b61a47fa600fd.jpg,Trà Sữa Phúc Hưng,Việt Nam,2025,Trà sữa,"Trà sữa hương đào thơm ngon Món này được phục vụ tại quán Trà Sữa Phúc Hưng địa chỉ 156 Hải Phòng, Quận Sơn Trà, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905234567.",Trà sữa,http://localhost:5173/images/foods/https://congthucphache.com/wp-content/uploads/2021/10/z2847484529074_9f315bdce3a01f84745b61a47fa600fd.jpg,"Trà Sữa Đào Trà sữa hương đào thơm ngon Món này được phục vụ tại quán Trà Sữa Phúc Hưng địa chỉ 156 Hải Phòng, Quận Sơn Trà, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905234567. Trà sữa Trà Sữa Phúc Hưng Việt Nam Trà sữa"
20,Trà Sữa Ô Long,tra-sua-o-long,https://cdn.tgdd.vn/Files/2021/08/10/1374160/hoc-cach-pha-tra-sua-o-long-dai-loan-thom-ngon-chuan-vi-ai-cung-me-202108100039248020.jpg,Trà Sữa Phúc Hưng,Việt Nam,2025,Trà sữa,"Trà sữa ô long đài loan Món này được phục vụ tại quán Trà Sữa Phúc Hưng địa chỉ 156 Hải Phòng, Quận Sơn Trà, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905234567.",Trà sữa,http://localhost:5173/images/foods/https://cdn.tgdd.vn/Files/2021/08/10/1374160/hoc-cach-pha-tra-sua-o-long-dai-loan-thom-ngon-chuan-vi-ai-cung-me-202108100039248020.jpg,"Trà Sữa Ô Long Trà sữa ô long đài loan Món này được phục vụ tại quán Trà Sữa Phúc Hưng địa chỉ 156 Hải Phòng, Quận Sơn Trà, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905234567. Trà sữa Trà Sữa Phúc Hưng Việt Nam Trà sữa"
21,Trà Sữa Socola,tra-sua-socola,https://noithatcaphe.vn/images/2022/07/15/socola-da-xay-1.jpg,Trà Sữa Phúc Hưng,Việt Nam,2025,Trà sữa,"Trà sữa socola đậm đà Món này được phục vụ tại quán Trà Sữa Phúc Hưng địa chỉ 156 Hải Phòng, Quận Sơn Trà, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905234567.",Trà sữa,http://localhost:5173/images/foods/https://noithatcaphe.vn/images/2022/07/15/socola-da-xay-1.jpg,"Trà Sữa Socola Trà sữa socola đậm đà Món này được phục vụ tại quán Trà Sữa Phúc Hưng địa chỉ 156 Hải Phòng, Quận Sơn Trà, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905234567. Trà sữa Trà Sữa Phúc Hưng Việt Nam Trà sữa"
22,Trà Sữa Yakult,tra-sua-yakult,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRF9fisCFm_cdkp053RNCS7KCX-bwq51mrSZw&s,Trà Sữa Phúc Hưng,Việt Nam,2025,Trà sữa,"Trà sữa kết hợp yakult chua ngọt Món này được phục vụ tại quán Trà Sữa Phúc Hưng địa chỉ 156 Hải Phòng, Quận Sơn Trà, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905234567.",Trà sữa,http://localhost:5173/images/foods/https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRF9fisCFm_cdkp053RNCS7KCX-bwq51mrSZw&s,"Trà Sữa Yakult Trà sữa kết hợp yakult chua ngọt Món này được phục vụ tại quán Trà Sữa Phúc Hưng địa chỉ 156 Hải Phòng, Quận Sơn Trà, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905234567. Trà sữa Trà Sữa Phúc Hưng Việt Nam Trà sữa"
23,Lục Trà Chanh,luc-tra-chanh,https://congthucphache.com/wp-content/uploads/2021/10/z2829041305457_465d871cb818145dda9be6542ba95731.jpg,Dinhtea - Trà Sữa,Việt Nam,2025,Trà,"Trà xanh chanh tươi mát Món này được phục vụ tại quán Dinhtea - Trà Sữa địa chỉ 45 Nguyễn Văn Linh, Quận Thanh Khê, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905345678.",Trà,http://localhost:5173/images/foods/https://congthucphache.com/wp-content/uploads/2021/10/z2829041305457_465d871cb818145dda9be6542ba95731.jpg,"Lục Trà Chanh Trà xanh chanh tươi mát Món này được phục vụ tại quán Dinhtea - Trà Sữa địa chỉ 45 Nguyễn Văn Linh, Quận Thanh Khê, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905345678. Trà Dinhtea - Trà Sữa Việt Nam Trà"
24,Lục Trà Xoài,luc-tra-xoai,https://congthucphache.com/wp-content/uploads/2021/10/z2847484529074_9f315bdce3a01f84745b61a47fa600fd.jpg,Dinhtea - Trà Sữa,Việt Nam,2025,Trà,"Trà xanh xoài nhiệt đới Món này được phục vụ tại quán Dinhtea - Trà Sữa địa chỉ 45 Nguyễn Văn Linh, Quận Thanh Khê, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905345678.",Trà,http://localhost:5173/images/foods/https://congthucphache.com/wp-content/uploads/2021/10/z2847484529074_9f315bdce3a01f84745b61a47fa600fd.jpg,"Lục Trà Xoài Trà xanh xoài nhiệt đới Món này được phục vụ tại quán Dinhtea - Trà Sữa địa chỉ 45 Nguyễn Văn Linh, Quận Thanh Khê, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905345678. Trà Dinhtea - Trà Sữa Việt Nam Trà"
25,Trà Chanh Nhãn,tra-chanh-nhan,https://longnhanbamai.com/wp-content/uploads/2018/08/Cach-pha-tra-nhan-ngon.jpg,Dinhtea - Trà Sữa,Việt Nam,2025,Trà,"Trà chanh với nhãn tươi Món này được phục vụ tại quán Dinhtea - Trà Sữa địa chỉ 45 Nguyễn Văn Linh, Quận Thanh Khê, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905345678.",Trà,http://localhost:5173/images/foods/https://longnhanbamai.com/wp-content/uploads/2018/08/Cach-pha-tra-nhan-ngon.jpg,"Trà Chanh Nhãn Trà chanh với nhãn tươi Món này được phục vụ tại quán Dinhtea - Trà Sữa địa chỉ 45 Nguyễn Văn Linh, Quận Thanh Khê, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905345678. Trà Dinhtea - Trà Sữa Việt Nam Trà"
26,Trà Chanh Bạc Hà,tra-chanh-bac-ha,https://assets.unileversolutions.com/v1/1188476.jpg,Dinhtea - Trà Sữa,Việt Nam,2025,Trà,"Trà chanh bạc hà the mát Món này được phục vụ tại quán Dinhtea - Trà Sữa địa chỉ 45 Nguyễn Văn Linh, Quận Thanh Khê, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905345678.",Trà,http://localhost:5173/images/foods/https://assets.unileversolutions.com/v1/1188476.jpg,"Trà Chanh Bạc Hà Trà chanh bạc hà the mát Món này được phục vụ tại quán Dinhtea - Trà Sữa địa chỉ 45 Nguyễn Văn Linh, Quận Thanh Khê, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905345678. Trà Dinhtea - Trà Sữa Việt Nam Trà"
27,Trà Chanh Gừng Sả,tra-chanh-gung-sa,https://images.baodantoc.vn/uploads/2020/Th%C3%A1ng%202/Ng%C3%A0y%2017/tra-sa-e1571990437260.jpg,Dinhtea - Trà Sữa,Việt Nam,2025,Trà,"Trà chanh với gừng sả ấm áp Món này được phục vụ tại quán Dinhtea - Trà Sữa địa chỉ 45 Nguyễn Văn Linh, Quận Thanh Khê, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905345678.",Trà,http://localhost:5173/images/foods/https://images.baodantoc.vn/uploads/2020/Th%C3%A1ng%202/Ng%C3%A0y%2017/tra-sa-e1571990437260.jpg,"Trà Chanh Gừng Sả Trà chanh với gừng sả ấm áp Món này được phục vụ tại quán Dinhtea - Trà Sữa địa chỉ 45 Nguyễn Văn Linh, Quận Thanh Khê, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905345678. Trà Dinhtea - Trà Sữa Việt Nam Trà"
28,Trà Vải,tra-vai,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRi3mnnDR42vTqZ7LII-EATkSrw_Ts9A59QTA&s,Dinhtea - Trà Sữa,Việt Nam,2025,Trà,"Trà vị vải thiều ngọt thanh Món này được phục vụ tại quán Dinhtea - Trà Sữa địa chỉ 45 Nguyễn Văn Linh, Quận Thanh Khê, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905345678.",Trà,http://localhost:5173/images/foods/https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRi3mnnDR42vTqZ7LII-EATkSrw_Ts9A59QTA&s,"Trà Vải Trà vị vải thiều ngọt thanh Món này được phục vụ tại quán Dinhtea - Trà Sữa địa chỉ 45 Nguyễn Văn Linh, Quận Thanh Khê, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905345678. Trà Dinhtea - Trà Sữa Việt Nam Trà"
29,Trà Đào Cam Sả,tra-dao-cam-sa,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTXbFucPDmhWK7KU1Mgj3TuMYHwjAlJW_qYQTa-9VSsGjg4GXYK-EfqvyNs4OkDrhFKSmo&usqp=CAU,Dinhtea - Trà Sữa,Việt Nam,2025,Trà,"Trà hoa quả mix đặc biệt Món này được phục vụ tại quán Dinhtea - Trà Sữa địa chỉ 45 Nguyễn Văn Linh, Quận Thanh Khê, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905345678.",Trà,http://localhost:5173/images/foods/https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTXbFucPDmhWK7KU1Mgj3TuMYHwjAlJW_qYQTa-9VSsGjg4GXYK-EfqvyNs4OkDrhFKSmo&usqp=CAU,"Trà Đào Cam Sả Trà hoa quả mix đặc biệt Món này được phục vụ tại quán Dinhtea - Trà Sữa địa chỉ 45 Nguyễn Văn Linh, Quận Thanh Khê, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905345678. Trà Dinhtea - Trà Sữa Việt Nam Trà"
30,Trà Ô Long Vải,tra-o-long-vai,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQM2egr6SI14d3VhRmvFuwtOF-gGAJ_W3BToA&s,Dinhtea - Trà Sữa,Việt Nam,2025,Trà,"Trà ô long kết hợp vải thiều Món này được phục vụ tại quán Dinhtea - Trà Sữa địa chỉ 45 Nguyễn Văn Linh, Quận Thanh Khê, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905345678.",Trà,http://localhost:5173/images/foods/https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQM2egr6SI14d3VhRmvFuwtOF-gGAJ_W3BToA&s,"Trà Ô Long Vải Trà ô long kết hợp vải thiều Món này được phục vụ tại quán Dinhtea - Trà Sữa địa chỉ 45 Nguyễn Văn Linh, Quận Thanh Khê, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905345678. Trà Dinhtea - Trà Sữa Việt Nam Trà"
